datetime,storage_acft
9/7/39,20778003.2
9/8/39,20796245.1
9/9/39,20796245.1
9/10/39,20798867.7
9/11/39,20805408.1
9/12/39,20893183.8
9/13/39,20977445.8
9/14/39,21003839.4
9/15/39,21039481.9
9/16/39,21063232.9
9/17/39,21076445.8
9/18/39,21094927.7
9/19/39,21104160.6
9/20/39,21106803.2
9/21/39,21104160.6
9/22/39,21101518.1
9/23/39,21096232.9
9/24/39,21090963.9
9/25/39,21093606.4
9/26/39,21085678.7
9/27/39,21075124.5
9/28/39,21064554.2
9/29/39,21054000
9/30/39,21044767.1
10/1/39,21040803.2
10/2/39,21027606.4
10/3/39,21015714.8
10/4/39,20997232.9
10/5/39,20984036.1
10/6/39,20969518.1
10/7/39,20951036.1
10/8/39,20940481.9
10/9/39,20931232.9
10/10/39,20920688.7
10/11/39,20908903.2
10/12/39,20898413
10/13/39,20887938.7
10/14/39,20876153.2
10/15/39,20868285.5
10/16/39,20861745.1
10/17/39,20851254.9
10/18/39,20839469.4
10/19/39,20827683.8
10/20/39,20815882.3
10/21/39,20804096.8
10/22/39,20794933.8
10/23/39,20785794.9
10/24/39,20771496.8
10/25/39,20751993.7
10/26/39,20738996.8
10/27/39,20726000
10/28/39,20713003.2
10/29/39,20701307.6
10/30/39,20688294.9
10/31/39,20675298.1
11/1/39,20661000
11/2/39,20646811.9
11/3/39,20631332.5
11/4/39,20617144.4
11/5/39,20604247.6
11/6/39,20595208.7
11/7/39,20583603.1
11/8/39,20569415
11/9/39,20557793.7
11/10/39,20542314.3
11/11/39,20524252.4
11/12/39,20516520.6
11/13/39,20506206.3
11/14/39,20494585
11/15/39,20480396.9
11/16/39,20463626.2
11/17/39,20449438.1
11/18/39,20432667.5
11/19/39,20421061.9
11/20/39,20410747.6
11/21/39,20395252.4
11/22/39,20378497.6
11/23/39,20364293.7
11/24/39,20355270.6
11/25/39,20343665
11/26/39,20334626.2
11/27/39,20324311.9
11/28/39,20310123.8
11/29/39,20297226.9
11/30/39,20281747.6
12/1/39,20267593.7
12/2/39,20253515.6
12/3/39,20243281.3
12/4/39,20231765.6
12/5/39,20216406.3
12/6/39,20203593.8
12/7/39,20190796.9
